αγαπημένος, -η, -ο
αγαπητός, -ή, -ό
αγγλικός, -ή, -ό
άγιος, -ία, -ο
αγνός, -ή, -ό
άγνωστος, -η, -ο
άγριος, -α, -ο
άδειος, -α, -ο
αδύνατος, -η, -ο
αθλητικός, -ή, -ό
αιγυπτιακός, -ή, -ό
αισθηματικός, -ή, -ό
ακριβός, -ή, -ό
αλβανικός, -ή, -ό
άλλος, -η, -ο
αμερικανικός, -ή, -ό
ανακατεμένος, -η, -ο
ανατολικός, -ή, -ό
ανεξάρτητος, -η, -ο
άνεργος, -η, -ο
ανθρώπινος, -η, -ο
ανοιχτός, -ή, -ό
αντίθετος, -η, -ο
αντίστοιχος, -η, -ο
αντρικός, -ή, -ό
απαραίτητος, -η, -ο
απλός, -ή, -ό
απογευματινός, -ή, -ό
αργός, -ή, -ό
αριστερός, -ή, -ό
άριστος, -η, -ο
αρκετός, -ή, -ό
αρμενικός, -ή, -ό
άρρωστος, -η, -ο
αρσενικός, -ή, -ό
άσπρος, -η, -ο
αστείος, -α, -ο
άσχημος, -η, -ο
αυθόρμητος, -η, -ο
αυστραλιανός, -ή, -ό
αυστριακός, -ή, -ό
αυτός, -ή, -ό
αφρικανικός, -ή, -ό
βαθύς, -ιά, -ύ
βαρετός, -ή, -ό
βαρύς, -ιά, -ύ
βασικός, -ή, -ό
βελγικός, -ή, -ό
βελούδινος, -η, -ο
βοηθητικός, -ή, -ό
βόρειος, -α, -ο
βουλγαρικός, -ή, -ό
βραζιλιανικός, -ή, -ό
βραστός, -ή, -ό
βρόμικος, -η, -ο
γαλακτοκομικός, -ή, -ό
γαλανός, -ή, -ό
γαλλικός, -ή, -ό
γελαστός, -ή, -ό
γεμάτος, -η, -ο
γερμανικός, -ή, -ό
γερός, -ή, -ό
γλυκός, -ιά, -ό
γνωστός, -ή, -ό
γοργός, -ή, -ό
γραπτός, -ή, -ό
γρήγορος, -η, -ο
γυναικείος, -α, -ο
δανέζικος, -η, -ο
δέκατος, -η, -ο
δερμάτινος, -η, -ο
δεύτερος, -η, -ο
δημόσιος, -α, -ο
δημοτικός, -ή, -ό
διαδοχικός, -ή, -ό
διαθέσιμος, -η, -ο
διακόσιοι, -ες, -α
διαφημιστικός, -ή, -ό
διαφορετικός, -ή, -ό
διάφορος, -η, -ο
διεθνής, -ής, -ές
δίκαιος, -η, -ο
δικός, -ή, -ό
διπλανός, -ή, -ό
διπλός, -ή, -ό
δραματικός, -ή, -ό
δυνατός, -ή, -ό
δύσκολος, -η, -ο
έβδομος, -η, -ο
εκείνος, -η, -ο
έκτος, -η, -ο
ελαφρύς, -ιά, -ύ
ελεύθερος, -η, -ο
ελληνικός, -ή, -ό
ένας, μία, ένα
ένατος, -η, -ο
επαγγελματικός, -ή, -ό
επικίνδυνος, -η, -ο
επίσημος, -η, -ο
επόμενος, -η, -ο
επτακόσιοι, -ες, -α
