αβγό, το
αγάπη, η
αγγελία, η
Αγγλίδα, η
αγγλικά, τα
αγγλική γλώσσα, η
Άγγλος, ο
αγγούρι, το
αγία, η
άγιος, ο
αγκαλιά, η
αγκινάρα, η
αγκίστρι, το
άγκυρα, η
άγνωστη, η
άγνωστος, ο
αγορά, η
αγόρι, το
άγχος, το
αγώνας, ο
αγωνία, η
άδεια, η
αδερφή, η
αδερφός, ο
αδυναμία, η
ΑΕΙ, το
αέρας, ο
αέριο, το
αεροδρόμιο, το
αεροπλάνο, το
αεροπορικό ταξίδι, το
άθλημα, το
αθλητής, ο
αθλητικά γεγονότα, τα
αθλητικοί αγώνες, οι
αθλητισμός, ο
αθλήτρια, η
Αιγαίο πέλαγος, το
Αιγύπτια, η
αιγυπτιακά, τα
αιγυπτιακή γλώσσα, η
Αιγύπτιος, ο
αίθουσα, η
αίμα, το
αίτηση, η
αιτία, η
ακορντεόν, το
άκρη, η
ακρόαση, η
ακτή, η
αλάτι, το
Αλβανίδα, η
αλβανικά, τα
αλβανική γλώσσα, η
Αλβανός, ο
αλεύρι, το
αλήθεια, η
αλλαγή, η
άλογο, το
αλφάβητο, το
Αμερικανίδα, η
Αμερικανός, ο
αμπέλι, το
αμύγδαλο, το
ανάγκη, η
ανάγνωση, η
ανακύκλωση, η
ανάληψη, η
ανάληψη χρημάτων, η
αναπνοή, η
αναπτήρας, ο
ανάσα, η
αναψυκτικό, το
άνεμος, ο
άνεργη, η
άνεργος, ο
άνεση, η
άνθος, το
άνθρωπος, ο
ανιψιά, η
ανιψιός, ο
άνοιξη, η
ανταγωνισμός, ο
αντικείμενο, το
αντίο, το
αντίτυπο, το
άντρας, ο
αξεσουάρ, το
αξιοθέατο, το
αόριστος, ο
απάντηση, η
απόγευμα, το
αποδέκτης, ο
αποδοχή, η
αποθήκη, η
Απόκριες, οι
απορρυπαντικό, το
απόσταση, η
αποτέλεσμα, το
απόφαση, η
απόφοιτη, η
απόφοιτος, ο
απρίλιος, ο
αρακάς, ο
άρθρο, το
αριθμός, ο
Αρκτική, η
αρμενικά, τα
αρμενική γλώσσα, η
Αρμένιος, ο
Αρμένισσα, η
αρνί, το
αρρώστια, η
αρχαία ελληνικά, τα
αρχαιότητα, η
αρχή, η
αρχιτέκτονας, η
αρχιτέκτονας, ο
ασανσέρ, το
ασθενής, η
ασθενής, ο
ασθενής άνεμος, ο
Ασία, η
άσκηση, η
ασπιρίνη, η
αστυνομία, η
αστυνομική ταυτότητα, η
αστυνομικό τμήμα, το
αστυνομικός, η
αστυνομικός, ο
