αδειάζω — 1-е лицо, ед. число
αδειάζεις — 2-е лицо, ед. число
αδειάζει — 3-е лицо, ед. число
αδειάζουμε — 1-е лицо, мн. число
αδειάζετε — 2-е лицо, мн. число
αδειάζουν — 3-е лицо, мн. число
αλλάζω — 1-е лицо, ед. число
αλλάζεις — 2-е лицо, ед. число
αλλάζει — 3-е лицо, ед. число
αλλάζουμε — 1-е лицо, мн. число
αλλάζετε — 2-е лицо, мн. число
αλλάζουν — 3-е лицо, мн. число
απλώνω — 1-е лицо, ед. число
απλώνεις — 2-е лицо, ед. число
απλώνει — 3-е лицо, ед. число
απλώνουμε — 1-е лицо, мн. число
απλώνετε — 2-е лицо, мн. число
απλώνουν — 3-е лицо, мн. число
αποκτώ — 1-е лицо, ед. число
αποκτάς — 2-е лицо, ед. число
αποκτά — 3-е лицо, ед. число
αποκτούμε — 1-е лицо, мн. число
αποκτάτε — 2-е лицо, мн. число
αποκτούν — 3-е лицо, мн. число
αφήνω — 1-е лицо, ед. число
αφήνεις — 2-е лицо, ед. число
αφήνει — 3-е лицо, ед. число
αφήνουμε — 1-е лицо, мн. число
αφήνετε — 2-е лицо, мн. число
αφήνουν — 3-е лицо, мн. число
βάζω — 1-е лицо, ед. число
βάζεις — 2-е лицо, ед. число
βάζει — 3-е лицо, ед. число
βάζουμε — 1-е лицо, мн. число
βάζετε — 2-е лицо, мн. число
βάζουν — 3-е лицо, мн. число
βάφω — 1-е лицо, ед. число
βάφεις — 2-е лицо, ед. число
βάφει — 3-е лицо, ед. число
βάφουμε — 1-е лицо, мн. число
βάφετε — 2-е лицо, мн. число
βάφουν — 3-е лицо, мн. число
βεβαιώνω — 1-е лицо, ед. число
βεβαιώνεις — 2-е лицо, ед. число
βεβαιώνει — 3-е лицо, ед. число
βεβαιώνουμε — 1-е лицо, мн. число
βεβαιώνετε — 2-е лицо, мн. число
βεβαιώνουν — 3-е лицо, мн. число
γεμίζω — 1-е лицо, ед. число
γεμίζεις — 2-е лицо, ед. число
γεμίζει — 3-е лицо, ед. число
γεμίζουμε — 1-е лицо, мн. число
γεμίζετε — 2-е лицо, мн. число
γεμίζουν — 3-е лицо, мн. число
δείχνεις — 2-е лицо, ед. число
δείχνουμε — 1-е лицо, мн. число
δείχνουν — 3-е лицо, мн. число
δημιουργώ — 1-е лицо, ед. число
δημιουργείς — 2-е лицо, ед. число
δημιουργεί — 3-е лицо, ед. число
δημιουργούμε — 1-е лицо, мн. число
δημιουργείτε — 2-е лицо, мн. число
δημιουργούν — 3-е лицо, мн. число
δίνομαι — 1-е лицо, ед. число
δίνεσαι — 2-е лицо, ед. число
δίνεται — 3-е лицо, ед. число
δινόμαστε — 1-е лицо, мн. число
δίνεστε — 2-е лицо, мн. число
δίνονται — 3-е лицо, мн. число
δίνω — 1-е лицо, ед. число
δίνεις — 2-е лицо, ед. число
δίνει — 3-е лицо, ед. число
δίνουμε — 1-е лицо, мн. число
δίνετε — 2-е лицо, мн. число
δίνουν — 3-е лицо, мн. число
ενώνω — 1-е лицо, ед. число
ενώνεις — 2-е лицо, ед. число
ενώνει — 3-е лицо, ед. число
ενώνουμε — 1-е лицо, мн. число
ενώνετε — 2-е лицо, мн. число
ενώνουν — 3-е лицо, мн. число
ετοιμάζω — 1-е лицо, ед. число
ετοιμάζεις — 2-е лицо, ед. число
ετοιμάζει — 3-е лицо, ед. число
ετοιμάζουμε — 1-е лицо, мн. число
ετοιμάζετε — 2-е лицо, мн. число
ετοιμάζουν — 3-е лицо, мн. число
καίω — 1-е лицо, ед. число
καίει — 3-е лицо, ед. число
καίτε — 2-е лицо, мн. число
κόβω — 1-е лицо, ед. число
κόβεις — 2-е лицо, ед. число
κόβει — 3-е лицо, ед. число
κόβουμε — 1-е лицо, мн. число
κόβετε — 2-е лицо, мн. число
κόβουν — 3-е лицо, мн. число
κρατάω — 1-е лицо, ед. число
κρατάς — 2-е лицо, ед. число
κρατάει — 3-е лицо, ед. число
κρατάμε — 1-е лицо, мн. число
κρατάτε — 2-е лицо, мн. число
κρατάνε — 3-е лицо, мн. число
κρύβω — 1-е лицо, ед. число
κρύβεις — 2-е лицо, ед. число
κρύβει — 3-е лицо, ед. число
κρύβουμε — 1-е лицо, мн. число
κρύβετε — 2-е лицо, мн. число
κρύβουν — 3-е лицо, мн. число
λήγω — 1-е лицо, ед. число
λήγεις — 2-е лицо, ед. число
λήγει — 3-е лицо, ед. число
λήγουμε — 1-е лицо, мн. число
λήγετε — 2-е лицо, мн. число
λήγουν — 3-е лицо, мн. число
λιώνω — 1-е лицо, ед. число
λιώνει — 3-е лицо, ед. число
λιώνετε — 2-е лицо, мн. число
μεγαλώνω — 1-е лицо, ед. число
μεγαλώνει — 3-е лицо, ед. число
μεγαλώνετε — 2-е лицо, мн. число
μοιράζω — 1-е лицо, ед. число
μοιράζεις — 2-е лицо, ед. число
μοιράζει — 3-е лицо, ед. число
μοιράζουμε — 1-е лицо, мн. число
μοιράζετε — 2-е лицо, мн. число
μοιράζουν — 3-е лицо, мн. число
μπερδεύω — 1-е лицо, ед. число
μπερδεύεις — 2-е лицо, ед. число
μπερδεύει — 3-е лицо, ед. число
μπερδεύουμε — 1-е лицо, мн. число
μπερδεύετε — 2-е лицо, мн. число
μπερδεύουν — 3-е лицо, мн. число
παίρνω — 1-е лицо, ед. число
παίρνεις — 2-е лицо, ед. число
παίρνει — 3-е лицо, ед. число
παίρνουμε — 1-е лицо, мн. число
παίρνετε — 2-е лицо, мн. число
παίρνουν — 3-е лицо, мн. число
πιάνω — 1-е лицо, ед. число
πιάνεις — 2-е лицо, ед. число
πιάνει — 3-е лицо, ед. число
πιάνουμε — 1-е лицо, мн. число
πιάνετε — 2-е лицо, мн. число
πιάνουν — 3-е лицо, мн. число
προετοιμάζω — 1-е лицо, ед. число
προετοιμάζεις — 2-е лицо, ед. число
προετοιμάζει — 3-е лицо, ед. число
προετοιμάζουμε — 1-е лицо, мн. число
προετοιμάζετε — 2-е лицо, мн. число
προετοιμάζουν — 3-е лицо, мн. число
προσφέρω — 1-е лицо, ед. число
προσφέρεις — 2-е лицо, ед. число
προσφέρει — 3-е лицо, ед. число
προσφέρουμε — 1-е лицо, мн. число
προσφέρετε — 2-е лицо, мн. число
προσφέρουν — 3-е лицо, мн. число
ρίχνω — 1-е лицо, ед. число
ρίχνεις — 2-е лицо, ед. число
ρίχνει — 3-е лицо, ед. число
ρίχνουμε — 1-е лицо, мн. число
ρίχνετε — 2-е лицо, мн. число
ρίχνουν — 3-е лицо, мн. число
σβήνω — 1-е лицо, ед. число
σβήνεις — 2-е лицо, ед. число
σβήνει — 3-е лицо, ед. число
σβήνουμε — 1-е лицо, мн. число
σβήνετε — 2-е лицо, мн. число
σβήνουν — 3-е лицо, мн. число
σκορπίζω — 1-е лицо, ед. число
σκορπίζεις — 2-е лицо, ед. число
σκορπίζει — 3-е лицо, ед. число
σκορπίζουμε — 1-е лицо, мн. число
σκορπίζετε — 2-е лицо, мн. число
σκορπίζουν — 3-е лицо, мн. число
σπάζω — 1-е лицо, ед. число
σπάζεις — 2-е лицо, ед. число
σπάζει — 3-е лицо, ед. число
σπάζουμε — 1-е лицо, мн. число
σπάζετε — 2-е лицо, мн. число
σπάζουν — 3-е лицо, мн. число
στέλνεις — 2-е лицо, ед. число
στέλνουμε — 1-е лицо, мн. число
στέλνουν — 3-е лицо, мн. число
συλλέγεις — 2-е лицо, ед. число
συλλέγουμε — 1-е лицо, мн. число
συλλέγουν — 3-е лицо, мн. число
συνδέω — 1-е лицо, ед. число
συνδέεις — 2-е лицо, ед. число
συνδέει — 3-е лицо, ед. число
συνδέουμε — 1-е лицо, мн. число
συνδέετε — 2-е лицо, мн. число
συνδέουν — 3-е лицо, мн. число
ταιριάζεις — 2-е лицо, ед. число
ταιριάζουμε — 1-е лицо, мн. число
ταιριάζουν — 3-е лицо, мн. число
τελειώνω — 1-е лицо, ед. число
τελειώνεις — 2-е лицо, ед. число
τελειώνει — 3-е лицо, ед. число
τελειώνουμε — 1-е лицо, мн. число
τελειώνετε — 2-е лицо, мн. число
τελειώνουν — 3-е лицо, мн. число
φέρνεις — 2-е лицо, ед. число
φέρνουμε — 1-е лицо, мн. число
φέρνουν — 3-е лицо, мн. число
φωτίζω — 1-е лицо, ед. число
φωτίζει — 3-е лицо, ед. число
