ακούω — 1-е лицо, ед. число
ακούς — 2-е лицо, ед. число
ακούει — 3-е лицо, ед. число
ακούμε — 1-е лицо, мн. число
ακούτε — 2-е лицо, мн. число
ακούν — 3-е лицо, мн. число
αναφέρω — 1-е лицо, ед. число
αναφέρεις — 2-е лицо, ед. число
αναφέρει — 3-е лицо, ед. число
αναφέρουμε — 1-е лицо, мн. число
αναφέρετε — 2-е лицо, мн. число
αναφέρουν — 3-е лицо, мн. число
απαντάω — 1-е лицо, ед. число
απαντάς — 2-е лицо, ед. число
απαντάει — 3-е лицо, ед. число
απαντάμε — 1-е лицо, мн. число
απαντάτε — 2-е лицо, мн. число
απαντάνε — 3-е лицо, мн. число
απευθύνομαι — 1-е лицо, ед. число
απευθύνεσαι — 2-е лицо, ед. число
απευθύνεται — 3-е лицо, ед. число
απευθυνόμαστε — 1-е лицо, мн. число
απευθύνεστε — 2-е лицо, мн. число
απευθύνονται — 3-е лицо, мн. число
γράφω — 1-е лицо, ед. число
γράφει — 3-е лицо, ед. число
γράφετε — 2-е лицо, мн. число
δείχνω — 1-е лицо, ед. число
δείχνει — 3-е лицо, ед. число
δείχνετε — 2-е лицо, мн. число
δηλώνω — 1-е лицо, ед. число
δηλώνεις — 2-е лицо, ед. число
δηλώνει — 3-е лицо, ед. число
δηλώνουμε — 1-е лицо, мн. число
δηλώνετε — 2-е лицо, мн. число
δηλώνουν — 3-е лицо, мн. число
διαφημίζω — 1-е лицо, ед. число
διαφημίζει — 3-е лицо, ед. число
διαφημίζετε — 2-е лицо, мн. число
διαφωνώ — 1-е лицо, ед. число
διαφωνεί — 3-е лицо, ед. число
διαφωνείτε — 2-е лицо, мн. число
εξηγώ — 1-е лицо, ед. число
εξηγείς — 2-е лицо, ед. число
εξηγεί — 3-е лицо, ед. число
εξηγούμε — 1-е лицо, мн. число
εξηγείτε — 2-е лицо, мн. число
εξηγούν — 3-е лицо, мн. число
επικοινωνώ — 1-е лицо, ед. число
επικοινωνείς — 2-е лицо, ед. число
επικοινωνεί — 3-е лицо, ед. число
επικοινωνούμε — 1-е лицо, мн. число
επικοινωνείτε — 2-е лицо, мн. число
επικοινωνούν — 3-е лицо, мн. число
ευχαριστώ — 1-е лицо, ед. число
ευχαριστείς — 2-е лицо, ед. число
ευχαριστεί — 3-е лицо, ед. число
ευχαριστούμε — 1-е лицо, мн. число
ευχαριστείτε — 2-е лицо, мн. число
ευχαριστούν — 3-е лицо, мн. число
θυμίζω — 1-е лицо, ед. число
θυμίζει — 3-е лицо, ед. число
θυμίζετε — 2-е лицо, мн. число
καλώ — 1-е лицо, ед. число
καλείς — 2-е лицо, ед. число
καλεί — 3-е лицо, ед. число
καλούμε — 1-е лицо, мн. число
καλείτε — 2-е лицо, мн. число
καλούν — 3-е лицо, мн. число
καλωσορίζω — 1-е лицо, ед. число
καλωσορίζεις — 2-е лицо, ед. число
καλωσορίζει — 3-е лицо, ед. число
καλωσορίζουμε — 1-е лицо, мн. число
καλωσορίζετε — 2-е лицо, мн. число
καλωσορίζουν — 3-е лицо, мн. число
λέω — 1-е лицо, ед. число
λες — 2-е лицо, ед. число
λέει — 3-е лицо, ед. число
λέμε — 1-е лицо, мн. число
λέτε — 2-е лицо, мн. число
λένε — 3-е лицо, мн. число
μεταφράζω — 1-е лицо, ед. число
μεταφράζεις — 2-е лицо, ед. число
μεταφράζει — 3-е лицо, ед. число
μεταφράζουμε — 1-е лицо, мн. число
μεταφράζετε — 2-е лицо, мн. число
μεταφράζουν — 3-е лицо, мн. число
μιλάω — 1-е лицо, ед. число
μιλάς — 2-е лицо, ед. число
μιλάει — 3-е лицо, ед. число
μιλάμε — 1-е лицо, мн. число
μιλάτε — 2-е лицо, мн. число
μιλάνε — 3-е лицо, мн. число
ξαναλέω — 1-е лицо, ед. число
ξαναλές — 2-е лицо, ед. число
ξαναλέει — 3-е лицо, ед. число
ξαναλέμε — 1-е лицо, мн. число
ξαναλέτε — 2-е лицо, мн. число
ξαναλένε — 3-е лицо, мн. число
ξαναμιλάω — 1-е лицо, ед. число
ξαναμιλάς — 2-е лицо, ед. число
ξαναμιλάει — 3-е лицо, ед. число
ξαναμιλάμε — 1-е лицо, мн. число
ξαναμιλάτε — 2-е лицо, мн. число
ξαναμιλάνε — 3-е лицо, мн. число
παρακαλώ — 1-е лицо, ед. число
παρακαλείς — 2-е лицо, ед. число
παρακαλεί — 3-е лицо, ед. число
παρακαλούμε — 1-е лицо, мн. число
παρακαλείτε — 2-е лицо, мн. число
παρακαλούν — 3-е лицо, мн. число
παρουσιάζομαι — 1-е лицо, ед. число
παρουσιάζεσαι — 2-е лицо, ед. число
παρουσιάζεται — 3-е лицо, ед. число
παρουσιαζόμαστε — 1-е лицо, мн. число
παρουσιάζεστε — 2-е лицо, мн. число
παρουσιάζονται — 3-е лицо, мн. число
παρουσιάζω — 1-е лицо, ед. число
παρουσιάζεις — 2-е лицо, ед. число
παρουσιάζει — 3-е лицо, ед. число
παρουσιάζουμε — 1-е лицо, мн. число
παρουσιάζετε — 2-е лицо, мн. число
παρουσιάζουν — 3-е лицо, мн. число
περιγράφω — 1-е лицо, ед. число
περιγράφεις — 2-е лицо, ед. число
περιγράφει — 3-е лицо, ед. число
περιγράφουμε — 1-е лицо, мн. число
περιγράφετε — 2-е лицо, мн. число
περιγράφουν — 3-е лицо, мн. число
προσκαλώ — 1-е лицо, ед. число
προσκαλείς — 2-е лицо, ед. число
προσκαλεί — 3-е лицо, ед. число
προσκαλούμε — 1-е лицо, мн. число
προσκαλείτε — 2-е лицо, мн. число
προσκαλούν — 3-е лицо, мн. число
προφέρω — 1-е лицо, ед. число
προφέρεις — 2-е лицо, ед. число
προφέρει — 3-е лицо, ед. число
προφέρουμε — 1-е лицо, мн. число
προφέρετε — 2-е лицо, мн. число
προφέρουν — 3-е лицо, мн. число
ρωτάω — 1-е лицо, ед. число
ρωτάς — 2-е лицо, ед. число
ρωτάει — 3-е лицо, ед. число
ρωτάμε — 1-е лицо, мн. число
ρωτάτε — 2-е лицо, мн. число
ρωτάνε — 3-е лицо, мн. число
σημαίνω — 1-е лицо, ед. число
σημαίνεις — 2-е лицо, ед. число
σημαίνει — 3-е лицо, ед. число
σημαίνουμε — 1-е лицо, мн. число
σημαίνετε — 2-е лицо, мн. число
σημαίνουν — 3-е лицо, мн. число
συζητάω — 1-е лицо, ед. число
συζητάς — 2-е лицо, ед. число
συζητάει — 3-е лицо, ед. число
συζητάμε — 1-е лицо, мн. число
συζητάτε — 2-е лицо, мн. число
συζητάνε — 3-е лицо, мн. число
συμβουλεύω — 1-е лицо, ед. число
συμβουλεύεις — 2-е лицо, ед. число
συμβουλεύει — 3-е лицо, ед. число
συμβουλεύουμε — 1-е лицо, мн. число
συμβουλεύετε — 2-е лицо, мн. число
συμβουλεύουν — 3-е лицо, мн. число
συναντάω — 1-е лицо, ед. число
συναντάς — 2-е лицо, ед. число
συναντάει — 3-е лицо, ед. число
συναντάμε — 1-е лицо, мн. число
συναντάτε — 2-е лицо, мн. число
συναντάνε — 3-е лицо, мн. число
συστήνω — 1-е лицо, ед. число
συστήνεις — 2-е лицо, ед. число
συστήνει — 3-е лицо, ед. число
συστήνουμε — 1-е лицо, мн. число
συστήνετε — 2-е лицо, мн. число
συστήνουν — 3-е лицо, мн. число
τηλεφωνώ — 1-е лицо, ед. число
τηλεφωνείς — 2-е лицо, ед. число
τηλεφωνεί — 3-е лицо, ед. число
τηλεφωνούμε — 1-е лицо, мн. число
τηλεφωνείτε — 2-е лицо, мн. число
τηλεφωνούν — 3-е лицо, мн. число
τονίζω — 1-е лицо, ед. число
τονίζεις — 2-е лицо, ед. число
τονίζει — 3-е лицо, ед. число
τονίζουμε — 1-е лицо, мн. число
τονίζετε — 2-е лицо, мн. число
τονίζουν — 3-е лицо, мн. число
φωνάζω — 1-е лицо, ед. число
φωνάζεις — 2-е лицо, ед. число
φωνάζει — 3-е лицо, ед. число
φωνάζουμε — 1-е лицо, мн. число
φωνάζετε — 2-е лицо, мн. число
φωνάζουν — 3-е лицо, мн. число
χαιρετάω — 1-е лицо, ед. число
χαιρετάς — 2-е лицо, ед. число
χαιρετάει — 3-е лицо, ед. число
χαιρετάμε — 1-е лицо, мн. число
χαιρετάτε — 2-е лицо, мн. число
χαιρετάνε — 3-е лицо, мн. число
