αγαπάω — 1-е лицо, ед. число
αγαπάς — 2-е лицо, ед. число
αγαπάει — 3-е лицо, ед. число
αγαπάμε — 1-е лицо, мн. число
αγαπάτε — 2-е лицо, мн. число
αγαπάνε — 3-е лицо, мн. число
αισθάνομαι — 1-е лицо, ед. число
αισθάνεσαι — 2-е лицо, ед. число
αισθάνεται — 3-е лицо, ед. число
αισθανόμαστε — 1-е лицо, мн. число
αισθάνεστε — 2-е лицо, мн. число
αισθάνονται — 3-е лицо, мн. число
αρέσω — 1-е лицо, ед. число
αρέσεις — 2-е лицо, ед. число
αρέσει — 3-е лицо, ед. число
αρέσουμε — 1-е лицо, мн. число
αρέσετε — 2-е лицо, мн. число
αρέσουν — 3-е лицо, мн. число
αρνούμαι — 1-е лицо, ед. число
αρνείσαι — 2-е лицо, ед. число
αρνείται — 3-е лицо, ед. число
αρνούμαστε — 1-е лицо, мн. число
αρνείστε — 2-е лицо, мн. число
αρνούνται — 3-е лицо, мн. число
γεννάω — 1-е лицо, ед. число
γεννάει — 3-е лицо, ед. число
γεννάτε — 2-е лицо, мн. число
γιορτάζω — 1-е лицо, ед. число
γιορτάζεις — 2-е лицо, ед. число
γιορτάζει — 3-е лицо, ед. число
γιορτάζουμε — 1-е лицо, мн. число
γιορτάζετε — 2-е лицо, мн. число
γιορτάζουν — 3-е лицо, мн. число
γνωρίζω — 1-е лицо, ед. число
γνωρίζεις — 2-е лицо, ед. число
γνωρίζει — 3-е лицо, ед. число
γνωρίζουμε — 1-е лицо, мн. число
γνωρίζετε — 2-е лицо, мн. число
γνωρίζουν — 3-е лицо, мн. число
διαφωνείς — 2-е лицо, ед. число
διαφωνούμε — 1-е лицо, мн. число
διαφωνούν — 3-е лицо, мн. число
ελπίζω — 1-е лицо, ед. число
ελπίζεις — 2-е лицо, ед. число
ελπίζει — 3-е лицо, ед. число
ελπίζουμε — 1-е лицо, мн. число
ελπίζετε — 2-е лицо, мн. число
ελπίζουν — 3-е лицо, мн. число
ενδιαφέρομαι — 1-е лицо, ед. число
ενδιαφέρεσαι — 2-е лицо, ед. число
ενδιαφέρεται — 3-е лицо, ед. число
ενδιαφερόμαστε — 1-е лицо, мн. число
ενδιαφέρεστε — 2-е лицо, мн. число
ενδιαφέρονται — 3-е лицо, мн. число
ενθουσιάζω — 1-е лицо, ед. число
ενθουσιάζεις — 2-е лицо, ед. число
ενθουσιάζει — 3-е лицо, ед. число
ενθουσιάζουμε — 1-е лицо, мн. число
ενθουσιάζετε — 2-е лицо, мн. число
ενθουσιάζουν — 3-е лицо, мн. число
επιθυμείς — 2-е лицо, ед. число
επιθυμούμε — 1-е лицо, мн. число
επιθυμούν — 3-е лицо, мн. число
επισκέπτεσαι — 2-е лицо, ед. число
επισκεπτόμαστε — 1-е лицо, мн. число
επισκέπτονται — 3-е лицо, мн. число
επιτρέπω — 1-е лицо, ед. число
επιτρέπεις — 2-е лицо, ед. число
επιτρέπει — 3-е лицо, ед. число
επιτρέπουμε — 1-е лицо, мн. число
επιτρέπετε — 2-е лицо, мн. число
επιτρέπουν — 3-е лицо, мн. число
θέλω — 1-е лицо, ед. число
θέλεις — 2-е лицо, ед. число
θέλει — 3-е лицо, ед. число
θέλουμε — 1-е лицо, мн. число
θέλετε — 2-е лицо, мн. число
θέλουν — 3-е лицо, мн. число
θυμάσαι — 2-е лицо, ед. число
θυμόμαστε — 1-е лицо, мн. число
θυμούνται — 3-е лицо, мн. число
κουράζω — 1-е лицо, ед. число
κουράζει — 3-е лицо, ед. число
κουράζετε — 2-е лицо, мн. число
λυπάμαι — 1-е лицо, ед. число
λυπάσαι — 2-е лицо, ед. число
λυπάται — 3-е лицо, ед. число
λυπόμαστε — 1-е лицо, мн. число
λυπάστε — 2-е лицо, мн. число
λυπούνται — 3-е лицо, мн. число
μαλώνω — 1-е лицо, ед. число
μαλώνεις — 2-е лицо, ед. число
μαλώνει — 3-е лицо, ед. число
μαλώνουμε — 1-е лицо, мн. число
μαλώνετε — 2-е лицо, мн. число
μαλώνουν — 3-е лицо, мн. число
μοιάζω — 1-е лицо, ед. число
μοιάζεις — 2-е лицо, ед. число
μοιάζει — 3-е лицо, ед. число
μοιάζουμε — 1-е лицо, мн. число
μοιάζετε — 2-е лицо, мн. число
μοιάζουν — 3-е лицо, мн. число
νευριάζω — 1-е лицо, ед. число
νευριάζει — 3-е лицо, ед. число
νευριάζετε — 2-е лицо, мн. число
ονειρεύομαι — 1-е лицо, ед. число
ονειρεύεσαι — 2-е лицо, ед. число
ονειρεύεται — 3-е лицо, ед. число
ονειρευόμαστε — 1-е лицо, мн. число
ονειρεύεστε — 2-е лицо, мн. число
ονειρεύονται — 3-е лицо, мн. число
παντρεύω — 1-е лицо, ед. число
παντρεύεις — 2-е лицо, ед. число
παντρεύει — 3-е лицо, ед. число
παντρεύουμε — 1-е лицо, мн. число
παντρεύετε — 2-е лицо, мн. число
παντρεύουν — 3-е лицо, мн. число
παρατηρώ — 1-е лицо, ед. число
παρατηρείς — 2-е лицо, ед. число
παρατηρεί — 3-е лицо, ед. число
παρατηρούμε — 1-е лицо, мн. число
παρατηρείτε — 2-е лицо, мн. число
παρατηρούν — 3-е лицо, мн. число
πείθω — 1-е лицо, ед. число
πείθεις — 2-е лицо, ед. число
πείθει — 3-е лицо, ед. число
πείθουμε — 1-е лицо, мн. число
πείθετε — 2-е лицо, мн. число
πείθουν — 3-е лицо, мн. число
πιστεύεις — 2-е лицо, ед. число
πιστεύουμε — 1-е лицо, мн. число
πιστεύουν — 3-е лицо, мн. число
συμμετέχεις — 2-е лицо, ед. число
συμμετέχουμε — 1-е лицо, мн. число
συμμετέχουν — 3-е лицо, мн. число
συμπαθώ — 1-е лицо, ед. число
συμπαθείς — 2-е лицо, ед. число
συμπαθεί — 3-е лицо, ед. число
συμπαθούμε — 1-е лицо, мн. число
συμπαθείτε — 2-е лицо, мн. число
συμπαθούν — 3-е лицо, мн. число
συμφωνώ — 1-е лицо, ед. число
συμφωνείς — 2-е лицо, ед. число
συμφωνεί — 3-е лицо, ед. число
συμφωνούμε — 1-е лицо, мн. число
συμφωνείτε — 2-е лицо, мн. число
συμφωνούν — 3-е лицо, мн. число
ταιριάζω — 1-е лицо, ед. число
ταιριάζει — 3-е лицо, ед. число
ταιριάζετε — 2-е лицо, мн. число
υπόσχομαι — 1-е лицо, ед. число
υπόσχεσαι — 2-е лицо, ед. число
υπόσχεται — 3-е лицо, ед. число
υποσχόμαστε — 1-е лицо, мн. число
υπόσχεστε — 2-е лицо, мн. число
υπόσχονται — 3-е лицо, мн. число
φιλάω — 1-е лицо, ед. число
φιλάς — 2-е лицо, ед. число
φιλάει — 3-е лицо, ед. число
φιλάμε — 1-е лицо, мн. число
φιλάτε — 2-е лицо, мн. число
φιλάνε — 3-е лицо, мн. число
φιλοξενώ — 1-е лицо, ед. число
φιλοξενείς — 2-е лицо, ед. число
φιλοξενεί — 3-е лицо, ед. число
φιλοξενούμε — 1-е лицо, мн. число
φιλοξενείτε — 2-е лицо, мн. число
φιλοξενούν — 3-е лицо, мн. число
φοβάμαι — 1-е лицо, ед. число
φοβάσαι — 2-е лицо, ед. число
φοβάται — 3-е лицо, ед. число
φοβόμαστε — 1-е лицо, мн. число
φοβάστε — 2-е лицо, мн. число
φοβούνται — 3-е лицо, мн. число
φροντίζεις — 2-е лицо, ед. число
φροντίζετε — 2-е лицо, мн. число
χαίρομαι — 1-е лицо, ед. число
χαίρεσαι — 2-е лицо, ед. число
χαίρεται — 3-е лицо, ед. число
χαιρόμαστε — 1-е лицо, мн. число
χαίρεστε — 2-е лицо, мн. число
χαίρονται — 3-е лицо, мн. число
χαρίζω — 1-е лицо, ед. число
χαρίζεις — 2-е лицо, ед. число
χαρίζει — 3-е лицо, ед. число
χαρίζουμε — 1-е лицо, мн. число
χαρίζετε — 2-е лицо, мн. число
χαρίζουν — 3-е лицо, мн. число
χωρίζω — 1-е лицо, ед. число
χωρίζεις — 2-е лицо, ед. число
χωρίζει — 3-е лицо, ед. число
χωρίζουμε — 1-е лицо, мн. число
χωρίζετε — 2-е лицо, мн. число
χωρίζουν — 3-е лицо, мн. число
