αγοράζω — 1-е лицо, ед. число
αγοράζεις — 2-е лицо, ед. число
αγοράζει — 3-е лицо, ед. число
αγοράζουμε — 1-е лицо, мн. число
αγοράζετε — 2-е лицо, мн. число
αγοράζουν — 3-е лицо, мн. число
ανακατεύω — 1-е лицо, ед. число
ανακατεύεις — 2-е лицо, ед. число
ανακατεύει — 3-е лицо, ед. число
ανακατεύουμε — 1-е лицо, мн. число
ανακατεύετε — 2-е лицо, мн. число
ανακατεύουν — 3-е лицо, мн. число
βράζω — 1-е лицо, ед. число
βράζεις — 2-е лицо, ед. число
βράζει — 3-е лицо, ед. число
βράζουμε — 1-е лицо, мн. число
βράζετε — 2-е лицо, мн. число
βράζουν — 3-е лицо, мн. число
διψάω — 1-е лицо, ед. число
διψάς — 2-е лицо, ед. число
διψάει — 3-е лицо, ед. число
διψάμε — 1-е лицо, мн. число
διψάτε — 2-е лицо, мн. число
διψάνε — 3-е лицо, мн. число
δοκιμάζω — 1-е лицо, ед. число
δοκιμάζεις — 2-е лицо, ед. число
δοκιμάζει — 3-е лицо, ед. число
δοκιμάζουμε — 1-е лицо, мн. число
δοκιμάζετε — 2-е лицо, мн. число
δοκιμάζουν — 3-е лицо, мн. число
ζητάω — 1-е лицо, ед. число
ζητάς — 2-е лицо, ед. число
ζητάει — 3-е лицо, ед. число
ζητάμε — 1-е лицо, мн. число
ζητάτε — 2-е лицо, мн. число
ζητάνε — 3-е лицо, мн. число
κοστίζω — 1-е лицо, ед. число
κοστίζεις — 2-е лицо, ед. число
κοστίζει — 3-е лицо, ед. число
κοστίζουμε — 1-е лицо, мн. число
κοστίζετε — 2-е лицо, мн. число
κοστίζουν — 3-е лицо, мн. число
μαγειρεύω — 1-е лицо, ед. число
μαγειρεύεις — 2-е лицо, ед. число
μαγειρεύει — 3-е лицо, ед. число
μαγειρεύουμε — 1-е лицо, мн. число
μαγειρεύετε — 2-е лицо, мн. число
μαγειρεύουν — 3-е лицо, мн. число
μυρίζω — 1-е лицо, ед. число
μυρίζεις — 2-е лицо, ед. число
μυρίζει — 3-е лицо, ед. число
μυρίζουμε — 1-е лицо, мн. число
μυρίζετε — 2-е лицо, мн. число
μυρίζουν — 3-е лицо, мн. число
νοικιάζω — 1-е лицо, ед. число
νοικιάζεις — 2-е лицо, ед. число
νοικιάζει — 3-е лицо, ед. число
νοικιάζουμε — 1-е лицо, мн. число
νοικιάζετε — 2-е лицо, мн. число
νοικιάζουν — 3-е лицо, мн. число
ξοδεύω — 1-е лицо, ед. число
ξοδεύεις — 2-е лицо, ед. число
ξοδεύει — 3-е лицо, ед. число
ξοδεύουμε — 1-е лицо, мн. число
ξοδεύετε — 2-е лицо, мн. число
ξοδεύουν — 3-е лицо, мн. число
παραγγέλλω — 1-е лицо, ед. число
παραγγέλλεις — 2-е лицо, ед. число
παραγγέλλει — 3-е лицо, ед. число
παραγγέλλουμε — 1-е лицо, мн. число
παραγγέλλετε — 2-е лицо, мн. число
παραγγέλλουν — 3-е лицо, мн. число
παραγγέλνω — 1-е лицо, ед. число
παραγγέλνεις — 2-е лицо, ед. число
παραγγέλνει — 3-е лицо, ед. число
παραγγέλνουμε — 1-е лицо, мн. число
παραγγέλνετε — 2-е лицо, мн. число
παραγγέλνουν — 3-е лицо, мн. число
πεινάω — 1-е лицо, ед. число
πεινάς — 2-е лицо, ед. число
πεινάει — 3-е лицо, ед. число
πεινάμε — 1-е лицо, мн. число
πεινάτε — 2-е лицо, мн. число
πεινάνε — 3-е лицо, мн. число
πίνω — 1-е лицо, ед. число
πίνεις — 2-е лицо, ед. число
πίνει — 3-е лицо, ед. число
πίνουμε — 1-е лицо, мн. число
πίνετε — 2-е лицо, мн. число
πίνουν — 3-е лицо, мн. число
πληρώνω — 1-е лицо, ед. число
πληρώνεις — 2-е лицо, ед. число
πληρώνει — 3-е лицо, ед. число
πληρώνουμε — 1-е лицо, мн. число
πληρώνετε — 2-е лицо, мн. число
πληρώνουν — 3-е лицо, мн. число
ποτίζω — 1-е лицо, ед. число
ποτίζεις — 2-е лицо, ед. число
ποτίζει — 3-е лицо, ед. число
ποτίζουμε — 1-е лицо, мн. число
ποτίζετε — 2-е лицо, мн. число
ποτίζουν — 3-е лицо, мн. число
πουλάω — 1-е лицо, ед. число
πουλάς — 2-е лицо, ед. число
πουλάει — 3-е лицо, ед. число
πουλάμε — 1-е лицо, мн. число
πουλάτε — 2-е лицо, мн. число
πουλάνε — 3-е лицо, мн. число
σερβίρω — 1-е лицо, ед. число
σερβίρεις — 2-е лицо, ед. число
σερβίρει — 3-е лицо, ед. число
σερβίρουμε — 1-е лицо, мн. число
σερβίρετε — 2-е лицо, мн. число
σερβίρουν — 3-е лицо, мн. число
τηγανίζω — 1-е лицо, ед. число
τηγανίζεις — 2-е лицо, ед. число
τηγανίζει — 3-е лицо, ед. число
τηγανίζουμε — 1-е лицо, мн. число
τηγανίζετε — 2-е лицо, мн. число
τηγανίζουν — 3-е лицо, мн. число
τρώω — 1-е лицо, ед. число
τρως — 2-е лицо, ед. число
τρώει — 3-е лицо, ед. число
τρώμε — 1-е лицо, мн. число
τρώτε — 2-е лицо, мн. число
τρώνε — 3-е лицо, мн. число
φυτεύω — 1-е лицо, ед. число
φυτεύει — 3-е лицо, ед. число
φυτεύετε — 2-е лицо, мн. число
