αδυνατίζω — 1-е лицо, ед. число
αδυνατίζεις — 2-е лицо, ед. число
αδυνατίζει — 3-е лицо, ед. число
αδυνατίζουμε — 1-е лицо, мн. число
αδυνατίζετε — 2-е лицо, мн. число
αδυνατίζουν — 3-е лицо, мн. число
αναπνέεις — 2-е лицо, ед. число
αναπνέουμε — 1-е лицо, мн. число
αναπνέουν — 3-е лицо, мн. число
αρρωσταίνω — 1-е лицо, ед. число
αρρωσταίνεις — 2-е лицо, ед. число
αρρωσταίνει — 3-е лицо, ед. число
αρρωσταίνουμε — 1-е лицо, мн. число
αρρωσταίνετε — 2-е лицо, мн. число
αρρωσταίνουν — 3-е лицо, мн. число
βήχω — 1-е лицо, ед. число
βήχεις — 2-е лицо, ед. число
βήχει — 3-е лицо, ед. число
βήχουμε — 1-е лицо, мн. число
βήχετε — 2-е лицо, мн. число
βήχουν — 3-е лицо, мн. число
βοηθάω — 1-е лицо, ед. число
βοηθάς — 2-е лицо, ед. число
βοηθάει — 3-е лицо, ед. число
βοηθάμε — 1-е лицо, мн. число
βοηθάτε — 2-е лицо, мн. число
βοηθάνε — 3-е лицо, мн. число
γελάω — 1-е лицо, ед. число
γελάς — 2-е лицо, ед. число
γελάει — 3-е лицо, ед. число
γελάμε — 1-е лицо, мн. число
γελάτε — 2-е лицо, мн. число
γελάνε — 3-е лицо, мн. число
γεννάς — 2-е лицо, ед. число
γεννάμε — 1-е лицо, мн. число
γεννάνε — 3-е лицо, мн. число
γυρίζεις — 2-е лицо, ед. число
γυρίζουμε — 1-е лицо, мн. число
γυρίζουν — 3-е лицо, мн. число
δηλητηριάζω — 1-е лицо, ед. число
δηλητηριάζεις — 2-е лицо, ед. число
δηλητηριάζει — 3-е лицо, ед. число
δηλητηριάζουμε — 1-е лицо, мн. число
δηλητηριάζετε — 2-е лицо, мн. число
δηλητηριάζουν — 3-е лицо, мн. число
διασκεδάζω — 1-е лицо, ед. число
διασκεδάζεις — 2-е лицо, ед. число
διασκεδάζει — 3-е лицо, ед. число
διασκεδάζουμε — 1-е лицо, мн. число
διασκεδάζετε — 2-е лицо, мн. число
διασκεδάζουν — 3-е лицо, мн. число
ζω — 1-е лицо, ед. число
ζεις — 2-е лицо, ед. число
ζει — 3-е лицо, ед. число
ζούμε — 1-е лицо, мн. число
ζείτε — 2-е лицо, мн. число
ζουν — 3-е лицо, мн. число
κολυμπάω — 1-е лицо, ед. число
κολυμπάς — 2-е лицо, ед. число
κολυμπάει — 3-е лицо, ед. число
κολυμπάμε — 1-е лицо, мн. число
κολυμπάτε — 2-е лицо, мн. число
κολυμπάνε — 3-е лицо, мн. число
κουράζεις — 2-е лицо, ед. число
κουράζουμε — 1-е лицо, мн. число
κουράζουν — 3-е лицо, мн. число
κρυώνω — 1-е лицо, ед. число
κρυώνει — 3-е лицо, ед. число
κρυώνετε — 2-е лицо, мн. число
νευριάζεις — 2-е лицо, ед. число
νευριάζουμε — 1-е лицо, мн. число
νευριάζουν — 3-е лицо, мн. число
νιώθω — 1-е лицо, ед. число
νιώθεις — 2-е лицо, ед. число
νιώθει — 3-е лицо, ед. число
νιώθουμε — 1-е лицо, мн. число
νιώθετε — 2-е лицо, мн. число
νιώθουν — 3-е лицо, мн. число
νυστάζω — 1-е лицо, ед. число
νυστάζεις — 2-е лицо, ед. число
νυστάζει — 3-е лицо, ед. число
νυστάζουμε — 1-е лицо, мн. число
νυστάζετε — 2-е лицо, мн. число
νυστάζουν — 3-е лицо, мн. число
ξενυχτάω — 1-е лицо, ед. число
ξενυχτάς — 2-е лицо, ед. число
ξενυχτάει — 3-е лицо, ед. число
ξενυχτάμε — 1-е лицо, мн. число
ξενυχτάτε — 2-е лицо, мн. число
ξενυχτάνε — 3-е лицо, мн. число
ξεπερνάω — 1-е лицо, ед. число
ξεπερνάς — 2-е лицо, ед. число
ξεπερνάει — 3-е лицо, ед. число
ξεπερνάμε — 1-е лицо, мн. число
ξεπερνάτε — 2-е лицо, мн. число
ξεπερνάνε — 3-е лицо, мн. число
παθαίνω — 1-е лицо, ед. число
παθαίνεις — 2-е лицо, ед. число
παθαίνει — 3-е лицо, ед. число
παθαίνουμε — 1-е лицо, мн. число
παθαίνετε — 2-е лицо, мн. число
παθαίνουν — 3-е лицо, мн. число
παίζω — 1-е лицо, ед. число
παίζεις — 2-е лицо, ед. число
παίζει — 3-е лицо, ед. число
παίζουμε — 1-е лицо, мн. число
παίζετε — 2-е лицо, мн. число
παίζουν — 3-е лицо, мн. число
πεθαίνω — 1-е лицо, ед. число
πεθαίνεις — 2-е лицо, ед. число
πεθαίνει — 3-е лицо, ед. число
πεθαίνουμε — 1-е лицо, мн. число
πεθαίνετε — 2-е лицо, мн. число
πεθαίνουν — 3-е лицо, мн. число
πνίγομαι — 1-е лицо, ед. число
πνίγεσαι — 2-е лицо, ед. число
πνίγεται — 3-е лицо, ед. число
πνιγόμαστε — 1-е лицо, мн. число
πνίγεστε — 2-е лицо, мн. число
πνίγονται — 3-е лицо, мн. число
πονάω — 1-е лицо, ед. число
πονάς — 2-е лицо, ед. число
πονάει — 3-е лицо, ед. число
πονάμε — 1-е лицо, мн. число
πονάτε — 2-е лицо, мн. число
πονάνε — 3-е лицо, мн. число
σταματάω — 1-е лицо, ед. число
σταματάς — 2-е лицо, ед. число
σταματάει — 3-е лицо, ед. число
σταματάμε — 1-е лицо, мн. число
σταματάτε — 2-е лицо, мн. число
σταματάνε — 3-е лицо, мн. число
τραγουδάω — 1-е лицо, ед. число
τραγουδάς — 2-е лицо, ед. число
τραγουδάει — 3-е лицо, ед. число
τραγουδάμε — 1-е лицо, мн. число
τραγουδάτε — 2-е лицо, мн. число
τραγουδάνε — 3-е лицо, мн. число
τρελαίνομαι — 1-е лицо, ед. число
τρελαίνεσαι — 2-е лицо, ед. число
τρελαίνεται — 3-е лицо, ед. число
τρελαινόμαστε — 1-е лицо, мн. число
τρελαίνεστε — 2-е лицо, мн. число
τρελαίνονται — 3-е лицо, мн. число
τρίβω — 1-е лицо, ед. число
τρίβεις — 2-е лицо, ед. число
τρίβει — 3-е лицо, ед. число
τρίβουμε — 1-е лицо, мн. число
τρίβετε — 2-е лицо, мн. число
τρίβουν — 3-е лицо, мн. число
φροντίζει — 3-е лицо, ед. число
φροντίζουν — 3-е лицо, мн. число
χαλαρώνω — 1-е лицо, ед. число
χαλαρώνεις — 2-е лицо, ед. число
χαλαρώνει — 3-е лицо, ед. число
χαλαρώνουμε — 1-е лицо, мн. число
χαλαρώνετε — 2-е лицо, мн. число
χαλαρώνουν — 3-е лицо, мн. число
χορεύω — 1-е лицо, ед. число
χορεύεις — 2-е лицо, ед. число
χορεύει — 3-е лицо, ед. число
χορεύουμε — 1-е лицо, мн. число
χορεύετε — 2-е лицо, мн. число
χορεύουν — 3-е лицо, мн. число
χρειάζομαι — 1-е лицо, ед. число
χρειάζεσαι — 2-е лицо, ед. число
χρειάζεται — 3-е лицо, ед. число
χρειαζόμαστε — 1-е лицо, мн. число
χρειάζεστε — 2-е лицо, мн. число
χρειάζονται — 3-е лицо, мн. число
χτυπάω — 1-е лицо, ед. число
χτυπάς — 2-е лицо, ед. число
χτυπάει — 3-е лицо, ед. число
χτυπάμε — 1-е лицо, мн. число
χτυπάτε — 2-е лицо, мн. число
χτυπάνε — 3-е лицо, мн. число
ψαρεύω — 1-е лицо, ед. число
ψαρεύεις — 2-е лицо, ед. число
ψαρεύει — 3-е лицо, ед. число
ψαρεύουμε — 1-е лицо, мн. число
ψαρεύετε — 2-е лицо, мн. число
ψαρεύουν — 3-е лицо, мн. число
