γίνομαι — 1-е лицо, ед. число
γίνεσαι — 2-е лицо, ед. число
γίνεται — 3-е лицо, ед. число
γινόμαστε — 1-е лицо, мн. число
γίνεστε — 2-е лицо, мн. число
γίνονται — 3-е лицо, мн. число
είμαι — 1-е лицо, ед. число
είσαι — 2-е лицо, ед. число
είναι — 3-е лицо, ед. число
είμαστε — 1-е лицо, мн. число
είστε — 2-е лицо, мн. число
είναι — 3-е лицо, мн. число
έχω — 1-е лицо, ед. число
έχεις — 2-е лицо, ед. число
έχει — 3-е лицо, ед. число
έχουμε — 1-е лицо, мн. число
έχετε — 2-е лицо, мн. число
έχουν — 3-е лицо, мн. число
κάνω — 1-е лицо, ед. число
κάνεις — 2-е лицо, ед. число
κάνει — 3-е лицо, ед. число
κάνουμε — 1-е лицо, мн. число
κάνετε — 2-е лицо, мн. число
κάνουν — 3-е лицо, мн. число
φαίνομαι — 1-е лицо, ед. число
φαίνεσαι — 2-е лицо, ед. число
φαίνεται — 3-е лицо, ед. число
φαινόμαστε — 1-е лицо, мн. число
φαίνεστε — 2-е лицо, мн. число
φαίνονται — 3-е лицо, мн. число
