ακολουθώ — 1-е лицо, ед. число
ακολουθείς — 2-е лицо, ед. число
ακολουθεί — 3-е лицо, ед. число
ακολουθούμε — 1-е лицо, мн. число
ακολουθείτε — 2-е лицо, мн. число
ακολουθούν — 3-е лицо, мн. число
ανεβαίνω — 1-е лицо, ед. число
ανεβαίνεις — 2-е лицо, ед. число
ανεβαίνει — 3-е лицо, ед. число
ανεβαίνουμε — 1-е лицо, мн. число
ανεβαίνετε — 2-е лицо, мн. число
ανεβαίνουν — 3-е лицо, мн. число
βγαίνω — 1-е лицо, ед. число
βγαίνεις — 2-е лицо, ед. число
βγαίνει — 3-е лицо, ед. число
βγαίνουμε — 1-е лицо, мн. число
βγαίνετε — 2-е лицо, мн. число
βγαίνουν — 3-е лицо, мн. число
βρίσκομαι — 1-е лицо, ед. число
βρίσκεσαι — 2-е лицо, ед. число
βρίσκεται — 3-е лицо, ед. число
βρισκόμαστε — 1-е лицо, мн. число
βρίσκεστε — 2-е лицо, мн. число
βρίσκονται — 3-е лицо, мн. число
γυρίζω — 1-е лицо, ед. число
γυρίζει — 3-е лицо, ед. число
γυρίζετε — 2-е лицо, мн. число
επισκέπτομαι — 1-е лицо, ед. число
επισκέπτεται — 3-е лицо, ед. число
επισκέπτεστε — 2-е лицо, мн. число
επιστρέφω — 1-е лицо, ед. число
επιστρέφεις — 2-е лицо, ед. число
επιστρέφει — 3-е лицо, ед. число
επιστρέφουμε — 1-е лицо, мн. число
επιστρέφετε — 2-е лицо, мн. число
επιστρέφουν — 3-е лицо, мн. число
έρχομαι — 1-е лицо, ед. число
έρχεσαι — 2-е лицо, ед. число
έρχεται — 3-е лицо, ед. число
ερχόμαστε — 1-е лицо, мн. число
έρχεστε — 2-е лицо, мн. число
έρχονται — 3-е лицо, мн. число
κατεβαίνω — 1-е лицо, ед. число
κατεβαίνεις — 2-е лицо, ед. число
κατεβαίνει — 3-е лицо, ед. число
κατεβαίνουμε — 1-е лицо, мн. число
κατεβαίνετε — 2-е лицо, мн. число
κατεβαίνουν — 3-е лицо, мн. число
λείπω — 1-е лицо, ед. число
λείπεις — 2-е лицо, ед. число
λείπει — 3-е лицо, ед. число
λείπουμε — 1-е лицо, мн. число
λείπετε — 2-е лицо, мн. число
λείπουν — 3-е лицо, мн. число
μετακομίζω — 1-е лицо, ед. число
μετακομίζεις — 2-е лицо, ед. число
μετακομίζει — 3-е лицо, ед. число
μετακομίζουμε — 1-е лицо, мн. число
μετακομίζετε — 2-е лицо, мн. число
μετακομίζουν — 3-е лицо, мн. число
μεταφέρω — 1-е лицо, ед. число
μεταφέρεις — 2-е лицо, ед. число
μεταφέρει — 3-е лицо, ед. число
μεταφέρουμε — 1-е лицо, мн. число
μεταφέρετε — 2-е лицо, мн. число
μεταφέρουν — 3-е лицо, мн. число
μπαίνω — 1-е лицо, ед. число
μπαίνεις — 2-е лицо, ед. число
μπαίνει — 3-е лицо, ед. число
μπαίνουμε — 1-е лицо, мн. число
μπαίνετε — 2-е лицо, мн. число
μπαίνουν — 3-е лицо, мн. число
ξαναγυρίζω — 1-е лицо, ед. число
ξαναγυρίζεις — 2-е лицо, ед. число
ξαναγυρίζει — 3-е лицо, ед. число
ξαναγυρίζουμε — 1-е лицо, мн. число
ξαναγυρίζετε — 2-е лицо, мн. число
ξαναγυρίζουν — 3-е лицо, мн. число
ξαναπερνάω — 1-е лицо, ед. число
ξαναπερνάς — 2-е лицо, ед. число
ξαναπερνάει — 3-е лицо, ед. число
ξαναπερνάμε — 1-е лицо, мн. число
ξαναπερνάτε — 2-е лицо, мн. число
ξαναπερνάνε — 3-е лицо, мн. число
ξεφεύγω — 1-е лицо, ед. число
ξεφεύγεις — 2-е лицо, ед. число
ξεφεύγει — 3-е лицо, ед. число
ξεφεύγουμε — 1-е лицо, мн. число
ξεφεύγετε — 2-е лицо, мн. число
ξεφεύγουν — 3-е лицо, мн. число
οδηγώ — 1-е лицо, ед. число
οδηγείς — 2-е лицо, ед. число
οδηγεί — 3-е лицо, ед. число
οδηγούμε — 1-е лицо, мн. число
οδηγείτε — 2-е лицо, мн. число
οδηγούν — 3-е лицо, мн. число
πάω — 1-е лицо, ед. число
πας — 2-е лицо, ед. число
πάει — 3-е лицо, ед. число
πάμε — 1-е лицо, мн. число
πάτε — 2-е лицо, мн. число
πάνε — 3-е лицо, мн. число
περιμένω — 1-е лицо, ед. число
περιμένει — 3-е лицо, ед. число
περιμένετε — 2-е лицо, мн. число
περνάω — 1-е лицо, ед. число
περνάς — 2-е лицо, ед. число
περνάει — 3-е лицо, ед. число
περνάμε — 1-е лицо, мн. число
περνάτε — 2-е лицо, мн. число
περνάνε — 3-е лицо, мн. число
περπατάω — 1-е лицо, ед. число
περπατάς — 2-е лицо, ед. число
περπατάει — 3-е лицо, ед. число
περπατάμε — 1-е лицо, мн. число
περπατάτε — 2-е лицо, мн. число
περπατάνε — 3-е лицо, мн. число
πετάω — 1-е лицо, ед. число
πετάει — 3-е лицо, ед. число
πετάτε — 2-е лицо, мн. число
πέφτω — 1-е лицо, ед. число
πέφτεις — 2-е лицо, ед. число
πέφτει — 3-е лицо, ед. число
πέφτουμε — 1-е лицо, мн. число
πέφτετε — 2-е лицо, мн. число
πέφτουν — 3-е лицо, мн. число
πηγαίνω — 1-е лицо, ед. число
πηγαίνεις — 2-е лицо, ед. число
πηγαίνει — 3-е лицо, ед. число
πηγαίνουμε — 1-е лицо, мн. число
πηγαίνετε — 2-е лицо, мн. число
πηγαίνουν — 3-е лицо, мн. число
πλησιάζω — 1-е лицо, ед. число
πλησιάζεις — 2-е лицо, ед. число
πλησιάζει — 3-е лицо, ед. число
πλησιάζουμε — 1-е лицо, мн. число
πλησιάζετε — 2-е лицо, мн. число
πλησιάζουν — 3-е лицо, мн. число
ταξιδεύω — 1-е лицо, ед. число
ταξιδεύεις — 2-е лицо, ед. число
ταξιδεύει — 3-е лицо, ед. число
ταξιδεύουμε — 1-е лицо, мн. число
ταξιδεύετε — 2-е лицо, мн. число
ταξιδεύουν — 3-е лицо, мн. число
τρακάρω — 1-е лицо, ед. число
τρακάρεις — 2-е лицо, ед. число
τρακάρει — 3-е лицо, ед. число
τρακάρουμε — 1-е лицо, мн. число
τρακάρετε — 2-е лицо, мн. число
τρακάρουν — 3-е лицо, мн. число
τρέχω — 1-е лицо, ед. число
τρέχεις — 2-е лицо, ед. число
τρέχει — 3-е лицо, ед. число
τρέχουμε — 1-е лицо, мн. число
τρέχετε — 2-е лицо, мн. число
τρέχουν — 3-е лицо, мн. число
τριγυρνάω — 1-е лицо, ед. число
τριγυρνάς — 2-е лицо, ед. число
τριγυρνάει — 3-е лицо, ед. число
τριγυρνάμε — 1-е лицо, мн. число
τριγυρνάτε — 2-е лицо, мн. число
τριγυρνάνε — 3-е лицо, мн. число
φέρνω — 1-е лицо, ед. число
φέρνει — 3-е лицо, ед. число
φέρνετε — 2-е лицо, мн. число
φεύγω — 1-е лицо, ед. число
φεύγεις — 2-е лицо, ед. число
φεύγει — 3-е лицо, ед. число
φεύγουμε — 1-е лицо, мн. число
φεύγετε — 2-е лицо, мн. число
φεύγουν — 3-е лицо, мн. число
φτάνω — 1-е лицо, ед. число
φτάνεις — 2-е лицо, ед. число
φτάνει — 3-е лицо, ед. число
φτάνουμε — 1-е лицо, мн. число
φτάνετε — 2-е лицо, мн. число
φτάνουν — 3-е лицо, мн. число
