αστράφτω — 1-е лицо, ед. число
αστράφτεις — 2-е лицо, ед. число
αστράφτει — 3-е лицо, ед. число
αστράφτουμε — 1-е лицо, мн. число
αστράφτετε — 2-е лицо, мн. число
αστράφτουν — 3-е лицо, мн. число
βρέχω — 1-е лицо, ед. число
βρέχεις — 2-е лицо, ед. число
βρέχει — 3-е лицо, ед. число
βρέχουμε — 1-е лицо, мн. число
βρέχετε — 2-е лицо, мн. число
βρέχουν — 3-е лицо, мн. число
διαρκώ — 1-е лицо, ед. число
διαρκείς — 2-е лицо, ед. число
διαρκεί — 3-е лицо, ед. число
διαρκούμε — 1-е лицо, мн. число
διαρκείτε — 2-е лицо, мн. число
διαρκούν — 3-е лицо, мн. число
καις — 2-е лицо, ед. число
καίμε — 1-е лицо, мн. число
καίνε — 3-е лицо, мн. число
κρυώνεις — 2-е лицо, ед. число
κρυώνουμε — 1-е лицо, мн. число
κρυώνουν — 3-е лицо, мн. число
λιώνεις — 2-е лицо, ед. число
λιώνουμε — 1-е лицо, мн. число
λιώνουν — 3-е лицо, мн. число
μεγαλώνεις — 2-е лицо, ед. число
μεγαλώνουμε — 1-е лицо, мн. число
μεγαλώνουν — 3-е лицо, мн. число
πετάς — 2-е лицо, ед. число
πετάμε — 1-е лицо, мн. число
πετάνε — 3-е лицо, мн. число
υπάρχω — 1-е лицо, ед. число
υπάρχεις — 2-е лицо, ед. число
υπάρχει — 3-е лицо, ед. число
υπάρχουμε — 1-е лицо, мн. число
υπάρχετε — 2-е лицо, мн. число
υπάρχουν — 3-е лицо, мн. число
φυσάω — 1-е лицо, ед. число
φυσάς — 2-е лицо, ед. число
φυσάει — 3-е лицо, ед. число
φυσάμε — 1-е лицо, мн. число
φυσάτε — 2-е лицо, мн. число
φυσάνε — 3-е лицо, мн. число
φυτεύεις — 2-е лицо, ед. число
φυτεύουμε — 1-е лицо, мн. число
φυτεύουν — 3-е лицо, мн. число
φωτίζεις — 2-е лицо, ед. число
φωτίζουμε — 1-е лицо, мн. число
φωτίζουν — 3-е лицо, мн. число
χιονίζει — безличная форма
