αναγνωρίζω — 1-е лицо, ед. число
αναγνωρίζει — 3-е лицо, ед. число
αναγνωρίζετε — 2-е лицо, мн. число
αντικαθιστώ — 1-е лицо, ед. число
αντικαθιστάς — 2-е лицо, ед. число
αντικαθιστά — 3-е лицо, ед. число
αντικαθιστούμε — 1-е лицо, мн. число
αντικαθιστάτε — 2-е лицо, мн. число
αντικαθιστούν — 3-е лицо, мн. число
αντιστοιχίζω — 1-е лицо, ед. число
αντιστοιχίζεις — 2-е лицо, ед. число
αντιστοιχίζει — 3-е лицо, ед. число
αντιστοιχίζουμε — 1-е лицо, мн. число
αντιστοιχίζετε — 2-е лицо, мн. число
αντιστοιχίζουν — 3-е лицо, мн. число
αργείς — 2-е лицо, ед. число
αργούμε — 1-е лицо, мн. число
αργούν — 3-е лицо, мн. число
γράφεις — 2-е лицо, ед. число
γράφουμε — 1-е лицо, мн. число
γράφουν — 3-е лицо, мн. число
διαβάζω — 1-е лицо, ед. число
διαβάζεις — 2-е лицо, ед. число
διαβάζει — 3-е лицо, ед. число
διαβάζουμε — 1-е лицо, мн. число
διαβάζετε — 2-е лицо, мн. число
διαβάζουν — 3-е лицо, мн. число
διαγράφω — 1-е лицо, ед. число
διαγράφεις — 2-е лицо, ед. число
διαγράφει — 3-е лицо, ед. число
διαγράφουμε — 1-е лицо, мн. число
διαγράφετε — 2-е лицо, мн. число
διαγράφουν — 3-е лицо, мн. число
διαφημίζεις — 2-е лицо, ед. число
διαφημίζουμε — 1-е лицо, мн. число
διαφημίζουν — 3-е лицо, мн. число
διδάσκω — 1-е лицо, ед. число
διδάσκεις — 2-е лицо, ед. число
διδάσκει — 3-е лицо, ед. число
διδάσκουμε — 1-е лицо, мн. число
διδάσκετε — 2-е лицо, мн. число
διδάσκουν — 3-е лицо, мн. число
διορθώνω — 1-е лицо, ед. число
διορθώνεις — 2-е лицо, ед. число
διορθώνει — 3-е лицо, ед. число
διορθώνουμε — 1-е лицо, мн. число
διορθώνετε — 2-е лицо, мн. число
διορθώνουν — 3-е лицо, мн. число
δουλεύω — 1-е лицо, ед. число
δουλεύεις — 2-е лицо, ед. число
δουλεύει — 3-е лицо, ед. число
δουλεύουμε — 1-е лицо, мн. число
δουλεύετε — 2-е лицо, мн. число
δουλεύουν — 3-е лицо, мн. число
ενημερώνω — 1-е лицо, ед. число
ενημερώνεις — 2-е лицо, ед. число
ενημερώνει — 3-е лицо, ед. число
ενημερώνουμε — 1-е лицо, мн. число
ενημερώνετε — 2-е лицо, мн. число
ενημερώνουν — 3-е лицо, мн. число
εξυπηρετώ — 1-е лицо, ед. число
εξυπηρετείς — 2-е лицо, ед. число
εξυπηρετεί — 3-е лицо, ед. число
εξυπηρετούμε — 1-е лицо, мн. число
εξυπηρετείτε — 2-е лицо, мн. число
εξυπηρετούν — 3-е лицо, мн. число
επαναλαμβάνω — 1-е лицо, ед. число
επαναλαμβάνεις — 2-е лицо, ед. число
επαναλαμβάνει — 3-е лицо, ед. число
επαναλαμβάνουμε — 1-е лицо, мн. число
επαναλαμβάνετε — 2-е лицо, мн. число
επαναλαμβάνουν — 3-е лицо, мн. число
επιλέγω — 1-е лицо, ед. число
επιλέγει — 3-е лицо, ед. число
επιλέγετε — 2-е лицо, мн. число
ζωγραφίζω — 1-е лицо, ед. число
ζωγραφίζεις — 2-е лицо, ед. число
ζωγραφίζει — 3-е лицо, ед. число
ζωγραφίζουμε — 1-е лицо, мн. число
ζωγραφίζετε — 2-е лицо, мн. число
ζωγραφίζουν — 3-е лицо, мн. число
καλύπτω — 1-е лицо, ед. число
καλύπτεις — 2-е лицо, ед. число
καλύπτει — 3-е лицо, ед. число
καλύπτουμε — 1-е лицо, мн. число
καλύπτετε — 2-е лицо, мн. число
καλύπτουν — 3-е лицо, мн. число
κερδίζω — 1-е лицо, ед. число
κερδίζεις — 2-е лицо, ед. число
κερδίζει — 3-е лицо, ед. число
κερδίζουμε — 1-е лицо, мн. число
κερδίζετε — 2-е лицо, мн. число
κερδίζουν — 3-е лицо, мн. число
κυκλώνω — 1-е лицо, ед. число
κυκλώνεις — 2-е лицо, ед. число
κυκλώνει — 3-е лицо, ед. число
κυκλώνουμε — 1-е лицо, мн. число
κυκλώνετε — 2-е лицо, мн. число
κυκλώνουν — 3-е лицо, мн. число
λειτουργώ — 1-е лицо, ед. число
λειτουργείς — 2-е лицо, ед. число
λειτουργεί — 3-е лицо, ед. число
λειτουργούμε — 1-е лицо, мн. число
λειτουργείτε — 2-е лицо, мн. число
λειτουργούν — 3-е лицо, мн. число
μαθαίνω — 1-е лицо, ед. число
μαθαίνει — 3-е лицо, ед. число
μαθαίνετε — 2-е лицо, мн. число
μελετάω — 1-е лицо, ед. число
μελετάς — 2-е лицо, ед. число
μελετάει — 3-е лицо, ед. число
μελετάμε — 1-е лицо, мн. число
μελετάτε — 2-е лицо, мн. число
μελετάνε — 3-е лицо, мн. число
μετράω — 1-е лицо, ед. число
μετράς — 2-е лицо, ед. число
μετράει — 3-е лицо, ед. число
μετράμε — 1-е лицо, мн. число
μετράτε — 2-е лицо, мн. число
μετράνε — 3-е лицо, мн. число
ξαναβλέπω — 1-е лицо, ед. число
ξαναβλέπεις — 2-е лицо, ед. число
ξαναβλέπει — 3-е лицо, ед. число
ξαναβλέπουμε — 1-е лицо, мн. число
ξαναβλέπετε — 2-е лицо, мн. число
ξαναβλέπουν — 3-е лицо, мн. число
ξαναδιαβάζω — 1-е лицо, ед. число
ξαναδιαβάζεις — 2-е лицо, ед. число
ξαναδιαβάζει — 3-е лицо, ед. число
ξαναδιαβάζουμε — 1-е лицо, мн. число
ξαναδιαβάζετε — 2-е лицо, мн. число
ξαναδιαβάζουν — 3-е лицо, мн. число
ξαναδίνω — 1-е лицо, ед. число
ξαναδίνεις — 2-е лицо, ед. число
ξαναδίνει — 3-е лицо, ед. число
ξαναδίνουμε — 1-е лицо, мн. число
ξαναδίνετε — 2-е лицо, мн. число
ξαναδίνουν — 3-е лицо, мн. число
παρακολουθώ — 1-е лицо, ед. число
παρακολουθείς — 2-е лицо, ед. число
παρακολουθεί — 3-е лицо, ед. число
παρακολουθούμε — 1-е лицо, мн. число
παρακολουθείτε — 2-е лицо, мн. число
παρακολουθούν — 3-е лицо, мн. число
περιλαμβάνω — 1-е лицо, ед. число
περιλαμβάνει — 3-е лицо, ед. число
περιλαμβάνετε — 2-е лицо, мн. число
σημειώνω — 1-е лицо, ед. число
σημειώνεις — 2-е лицо, ед. число
σημειώνει — 3-е лицо, ед. число
σημειώνουμε — 1-е лицо, мн. число
σημειώνετε — 2-е лицо, мн. число
σημειώνουν — 3-е лицо, мн. число
σπουδάζω — 1-е лицо, ед. число
σπουδάζεις — 2-е лицо, ед. число
σπουδάζει — 3-е лицо, ед. число
σπουδάζουμε — 1-е лицо, мн. число
σπουδάζετε — 2-е лицо, мн. число
σπουδάζουν — 3-е лицо, мн. число
συλλέγω — 1-е лицо, ед. число
συλλέγει — 3-е лицо, ед. число
συλλέγετε — 2-е лицо, мн. число
συμμετέχω — 1-е лицо, ед. число
συμμετέχει — 3-е лицо, ед. число
συμμετέχετε — 2-е лицо, мн. число
συμπληρώνω — 1-е лицо, ед. число
συμπληρώνεις — 2-е лицо, ед. число
συμπληρώνει — 3-е лицо, ед. число
συμπληρώνουμε — 1-е лицо, мн. число
