αναγνωρίζεις — 2-е лицо, ед. число
αναγνωρίζουμε — 1-е лицо, мн. число
αναγνωρίζουν — 3-е лицо, мн. число
αναπνέω — 1-е лицо, ед. число
αναπνέει — 3-е лицо, ед. число
αναπνέετε — 2-е лицо, мн. число
αποφασίζω — 1-е лицо, ед. число
αποφασίζεις — 2-е лицо, ед. число
αποφασίζει — 3-е лицо, ед. число
αποφασίζουμε — 1-е лицо, мн. число
αποφασίζετε — 2-е лицо, мн. число
αποφασίζουν — 3-е лицо, мн. число
αποφεύγω — 1-е лицо, ед. число
αποφεύγεις — 2-е лицо, ед. число
αποφεύγει — 3-е лицо, ед. число
αποφεύγουμε — 1-е лицо, мн. число
αποφεύγετε — 2-е лицо, мн. число
αποφεύγουν — 3-е лицо, мн. число
αρκώ — 1-е лицо, ед. число
αρκείς — 2-е лицо, ед. число
αρκεί — 3-е лицо, ед. число
αρκούμε — 1-е лицо, мн. число
αρκείτε — 2-е лицо, мн. число
αρκούν — 3-е лицо, мн. число
αρχίζω — 1-е лицо, ед. число
αρχίζεις — 2-е лицо, ед. число
αρχίζει — 3-е лицо, ед. число
αρχίζουμε — 1-е лицо, мн. число
αρχίζετε — 2-е лицо, мн. число
αρχίζουν — 3-е лицо, мн. число
βλέπω — 1-е лицо, ед. число
βλέπεις — 2-е лицо, ед. число
βλέπει — 3-е лицо, ед. число
βλέπουμε — 1-е лицо, мн. число
βλέπετε — 2-е лицо, мн. число
βλέπουν — 3-е лицо, мн. число
βρίσκω — 1-е лицо, ед. число
βρίσκεις — 2-е лицо, ед. число
βρίσκει — 3-е лицо, ед. число
βρίσκουμε — 1-е лицо, мн. число
βρίσκετε — 2-е лицо, мн. число
βρίσκουν — 3-е лицо, мн. число
διακρίνω — 1-е лицо, ед. число
διακρίνεις — 2-е лицо, ед. число
διακρίνει — 3-е лицо, ед. число
διακρίνουμε — 1-е лицо, мн. число
διακρίνετε — 2-е лицо, мн. число
διακρίνουν — 3-е лицо, мн. число
διαλέγω — 1-е лицо, ед. число
διαλέγεις — 2-е лицо, ед. число
διαλέγει — 3-е лицо, ед. число
διαλέγουμε — 1-е лицо, мн. число
διαλέγετε — 2-е лицо, мн. число
διαλέγουν — 3-е лицо, мн. число
επιθυμώ — 1-е лицо, ед. число
επιθυμεί — 3-е лицо, ед. число
